"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.637458336E-3,-6.735992432E-1,6.453380127E0,7.849975891E0,1.018439848E1
1.161545841E-2,-6.333329773E-1,6.424789581E0,7.684569855E0,1.003651561E1
2.159345837E-2,-6.252497864E-1,6.356531525E0,7.498955841E0,9.850419739E0
3.157145833E-2,-5.860313416E-1,6.262077942E0,7.299420776E0,9.635278748E0
4.154945840E-2,-4.885839844E-1,6.224655762E0,7.152426453E0,9.494327666E0
5.152745836E-2,-4.114942932E-1,6.196364594E0,7.138505402E0,9.461634166E0
6.150545843E-2,-3.770658875E-1,6.168672180E0,7.236551514E0,9.516426481E0
7.148345839E-2,-3.522175598E-1,6.174210663E0,7.347470856E0,9.603658808E0
8.146145835E-2,-3.505709839E-1,6.191125488E0,7.412735138E0,9.664449133E0
9.143945843E-2,-3.472778320E-1,6.198909302E0,7.454498291E0,9.701372233E0
1.014174584E-1,-3.146456909E-1,6.218817902E0,7.405400391E0,9.675363195E0
1.113954583E-1,-2.862048340E-1,6.244414673E0,7.434290314E0,9.713047940E0
1.213724584E-1,-2.710862732E-1,6.249653778E0,7.462431793E0,9.737532972E0
1.313504584E-1,-3.038681030E-1,6.241869965E0,7.408543854E0,9.692254563E0
1.413284583E-1,-3.745211792E-1,6.214177551E0,7.464228058E0,9.719617752E0
1.513064584E-1,-4.234693909E-1,6.216722260E0,7.483388214E0,9.737970073E0
1.612844584E-1,-4.357438660E-1,6.198310547E0,7.450606384E0,9.701570071E0
1.712624584E-1,-4.351451111E-1,6.209686890E0,7.491770782E0,9.740441057E0
1.812404584E-1,-3.775149536E-1,6.255940704E0,7.522456970E0,9.791152665E0
1.912184583E-1,-3.336561584E-1,6.265520782E0,7.549101563E0,9.816160732E0
2.011964584E-1,-3.230282593E-1,6.275400238E0,7.565118256E0,9.834429807E0
2.111744584E-1,-3.640429688E-1,6.299200745E0,7.640711060E0,9.909234219E0
2.211524583E-1,-4.266128540E-1,6.318660278E0,7.730973358E0,9.993768824E0
2.311304584E-1,-4.640350342E-1,6.332731018E0,7.720944214E0,9.996588929E0
2.411084584E-1,-4.830455017E-1,6.353238373E0,7.636669464E0,9.945636796E0
2.510864583E-1,-4.840933228E-1,6.361471252E0,7.485334167E0,9.835288020E0
2.610644584E-1,-4.731660461E-1,6.356980591E0,7.380851440E0,9.752541019E0
2.710424584E-1,-4.561015320E-1,6.357579346E0,7.337591400E0,9.719418259E0
2.810204583E-1,-4.646337891E-1,6.354136505E0,7.323221283E0,9.706724743E0
2.909984584E-1,-4.754113770E-1,6.369105377E0,7.347919922E0,9.735679045E0
3.009754583E-1,-4.828958130E-1,6.385122070E0,7.351662140E0,9.749354257E0
3.109534584E-1,-5.081932068E-1,6.433022461E0,7.320077820E0,9.758359371E0
3.209314584E-1,-5.414241028E-1,6.459068298E0,7.299720154E0,9.762101089E0
3.309094583E-1,-6.054908752E-1,6.434818726E0,7.317084045E0,9.762849490E0
3.408874584E-1,-6.801855469E-1,6.430328064E0,7.342680817E0,9.784003933E0
3.508654584E-1,-6.677613831E-1,6.429130554E0,7.309150543E0,9.757218180E0
3.608434583E-1,-6.616241455E-1,6.455176392E0,7.281757507E0,9.753514298E0
3.708214584E-1,-6.789880371E-1,6.500981140E0,7.320227509E0,9.813740944E0
3.807994584E-1,-6.897656250E-1,6.559659119E0,7.487429810E0,9.978301936E0
3.907774583E-1,-7.360194397E-1,6.557114410E0,7.511829071E0,9.998252347E0
4.007554584E-1,-8.012837219E-1,6.531218262E0,7.484436035E0,9.965723774E0
4.107340417E-1,-8.291258240E-1,6.530619507E0,7.583529968E0,1.004222921E1
4.207120417E-1,-7.565267944E-1,6.563401337E0,7.723488922E0,1.016380101E1
4.306900417E-1,-7.602690125E-1,6.573729858E0,7.827223206E0,1.024974909E1
4.406680417E-1,-7.932005310E-1,6.564000092E0,7.932753754E0,1.032685075E1
4.506460417E-1,-7.726931763E-1,6.577172699E0,8.104297028E0,1.046593932E1
4.606230417E-1,-7.593708801E-1,6.641987915E0,8.159681854E0,1.054860444E1
4.706010417E-1,-6.884184265E-1,6.733597412E0,8.089477844E0,1.054774411E1
4.805790418E-1,-6.268963623E-1,6.821913757E0,7.943381653E0,1.048946226E1
4.905570417E-1,-5.980064392E-1,6.860383759E0,7.913743286E0,1.049046280E1
5.005350417E-1,-6.132746887E-1,6.845863953E0,8.054001617E0,1.058814909E1
5.105130418E-1,-6.056405640E-1,6.844965820E0,8.194259949E0,1.069421590E1
5.204910417E-1,-5.041516113E-1,6.851552124E0,8.229736176E0,1.072037746E1
5.304690417E-1,-3.402424622E-1,6.868616638E0,8.171507263E0,1.068022427E1
5.404470417E-1,-2.216889954E-1,6.910230103E0,8.021369476E0,1.058974949E1
5.504250417E-1,-2.014810181E-1,6.932084656E0,7.933651886E0,1.053742020E1
5.604030417E-1,-1.998344421E-1,6.962471466E0,7.784112854E0,1.044549451E1
5.703810417E-1,-2.609074402E-1,6.952142944E0,7.661667480E0,1.034898608E1
5.803590417E-1,-3.577560425E-1,6.946155396E0,7.547754364E0,1.026380339E1
5.903370418E-1,-4.617897034E-1,6.949448547E0,7.440726929E0,1.019178601E1
6.003150417E-1,-5.327421570E-1,6.928791504E0,7.354805603E0,1.011855382E1
6.102930417E-1,-5.523513794E-1,6.883735199E0,7.218888245E0,9.990157648E0
6.202710418E-1,-5.237608337E-1,6.841972046E0,7.103627930E0,9.876661210E0
6.302480417E-1,-4.896318054E-1,6.819369049E0,7.014712830E0,9.795393285E0
6.402260417E-1,-4.540058899E-1,6.789730682E0,6.874005432E0,9.672565056E0
6.502040417E-1,-4.062551880E-1,6.734495544E0,6.766379242E0,9.555226924E0
6.601820417E-1,-3.155438232E-1,6.669231262E0,6.655609589E0,9.427372515E0
6.701600417E-1,-1.736389160E-1,6.618935852E0,6.559060364E0,9.319964332E0
6.801380417E-1,-5.478607178E-2,6.575376434E0,6.478527832E0,9.230920844E0
