Times (us),interval (us),strain (raw),sensorValue0 (raw)
66620,66620,4204810,431
79124,12504,4204728,428
91628,12504,4205219,428
104128,12500,4205094,427
116628,12500,4204488,426
129128,12500,4204581,425
141632,12504,4205122,424
154136,12504,4204806,424
166640,12504,4204439,422
179140,12500,4204890,421
191644,12504,4204859,421
204144,12500,4204585,420
216644,12500,4204954,419
229144,12500,4205103,418
241644,12500,4204609,418
254144,12500,4204601,417
266648,12504,4205160,416
279152,12504,4205228,415
291656,12504,4204658,414
304160,12504,4204675,414
316660,12500,4205266,413
329160,12500,4204784,412
341664,12504,4204802,411
354164,12500,4205322,411
366664,12500,4205234,410
379164,12500,4204673,409
391664,12500,4204827,408
404164,12500,4205393,408
416664,12500,4205262,407
429164,12500,4204729,406
441664,12500,4205415,405
454164,12500,4205376,405
466668,12504,4204913,404
479168,12500,4204981,403
491668,12500,4205397,403
504172,12504,4205296,402
516672,12500,4204917,401
529176,12504,4205028,400
541680,12504,4205336,400
554180,12500,4204979,400
566680,12500,4205092,398
579180,12500,4205216,397
591684,12504,4205046,397
604188,12504,4205001,397
616688,12500,4205197,396
629192,12504,4205186,395
641696,12504,4205026,394
654196,12500,4205051,394
666696,12500,4205297,393
679200,12504,4205418,392
691700,12500,4205093,392
704200,12500,4205154,392
716700,12500,4205242,390
729200,12500,4205367,389
741700,12500,4205220,389
754200,12500,4205218,389
766700,12500,4205418,388
779200,12500,4205298,387
791704,12504,4205193,387
804204,12500,4205396,387
816708,12504,4205399,386
829208,12500,4205244,384
841712,12504,4205215,384
854216,12504,4205274,384
866720,12504,4205321,383
879224,12504,4205316,382
891724,12500,4205349,382
926936,22712,4205330,380
939436,12500,4205266,380
951936,12500,4205376,379
964436,12500,4205569,378
976936,12500,4205245,377
989436,12500,4205142,377
1001936,12500,4205401,377
1014436,12500,4205324,376
1026940,12504,4205253,375
1039440,12500,4205410,375
1051944,12504,4205549,375
1064444,12500,4205451,373
1076944,12500,4205272,373
1089448,12504,4205435,373
