Times (us),interval (us),strain (raw),sensorValue0 (raw)
66604,66604,4497772,431
79104,12500,4497013,429
91604,12500,4495768,428
104104,12500,4496551,427
116604,12500,4497608,426
129104,12500,4496664,425
141608,12504,4495554,424
154108,12500,4496777,424
166608,12500,4497704,422
179108,12500,4496467,421
191612,12504,4496986,421
204112,12500,4497691,420
216612,12500,4496300,419
229112,12500,4495867,418
241612,12500,4497296,417
254112,12500,4497477,417
266612,12500,4496099,416
279112,12500,4496242,415
291612,12500,4497282,414
304112,12500,4497095,414
316616,12504,4496548,413
329116,12500,4497289,412
341616,12500,4497105,411
354116,12500,4499179,411
366616,12500,4503640,410
379116,12500,4506753,409
391620,12504,4508448,408
404120,12500,4509754,408
416620,12500,4511082,407
429120,12500,4512306,406
441620,12500,4511968,405
454120,12500,4511371,405
466624,12504,4510994,404
479124,12500,4510788,403
491624,12500,4511133,402
504124,12500,4511987,402
516624,12500,4512608,401
529124,12500,4513267,400
541624,12500,4514048,400
554124,12500,4516455,399
566624,12500,4517692,398
579128,12504,4519209,397
591628,12500,4520275,397
604128,12500,4520954,396
616628,12500,4521290,395
629128,12500,4521425,394
641628,12500,4521586,394
654132,12504,4521954,394
666636,12504,4523125,393
679136,12500,4523551,392
691636,12500,4523750,391
704140,12504,4523654,391
716640,12500,4523233,390
729140,12500,4522688,389
741644,12504,4522320,389
754144,12500,4522344,388
766644,12500,4522485,387
779148,12504,4522506,386
791652,12504,4522768,386
804152,12500,4522774,386
816652,12500,4523066,385
829152,12500,4523406,384
841652,12500,4523875,383
854156,12504,4524537,383
866656,12500,4524801,382
879156,12500,4524397,381
891656,12500,4523633,381
904156,12500,4524020,381
916656,12500,4520313,380
929156,12500,4516422,379
941660,12504,4516578,378
954164,12504,4520355,378
966668,12504,4523625,377
979168,12500,4522978,376
991672,12504,4519088,376
1004172,12500,4516107,376
1016672,12500,4517581,375
1029172,12500,4524043,374
1041672,12500,4521711,374
1054176,12504,4517337,374
1066680,12504,4515972,373
1079180,12500,4519112,372
1091680,12500,4523047,372
1104180,12500,4523536,371
1116680,12500,4520082,371
1129180,12500,4516618,370
1141684,12504,4516908,369
1154184,12500,4523365,369
1166684,12500,4522572,368
1179184,12500,4518792,367
1191684,12500,4516158,367
1204188,12504,4517820,367
1216692,12504,4521824,366
1229196,12504,4523601,365
1241696,12500,4521175,365
1254196,12500,4517376,365
1266700,12504,4519576,364
1279200,12500,4523091,363
1291700,12500,4523024,363
1304200,12500,4519691,363
1316700,12500,4516686,362
1329204,12504,4517168,361
1341708,12504,4520713,361
1354208,12500,4523415,361
1366708,12500,4522212,360
1379208,12500,4518482,359
1391708,12500,4518480,359
1404208,12500,4522154,359
1416708,12500,4523364,358
1429212,12504,4520868,357
1441716,12504,4517419,357
1454216,12500,4516925,357
1466720,12504,4519950,356
1479224,12504,4523036,355
1491724,12500,4522908,355
1504224,12500,4516769,355
1516724,12500,4517643,354
1529224,12500,4521026,353
1541724,12500,4523162,353
1554228,12504,4521818,353
1566732,12504,4518361,352
1579232,12500,4516718,351
1591732,12500,4518576,351
1604232,12500,4522084,351
1616732,12500,4523292,350
1629232,12500,4517393,349
1641732,12500,4516905,349
1654232,12500,4519826,349
1666732,12500,4522841,349
1679232,12500,4522452,348
1691732,12500,4519442,348
1704232,12500,4517202,348
1716732,12500,4518088,347
1729232,12500,4521109,346
1741732,12500,4522964,346
1754236,12504,4518326,346
1766736,12500,4516947,345
1779240,12504,4518954,345
1791740,12500,4522138,344
1804244,12504,4522886,344
1816748,12504,4520394,344
1829248,12500,4517552,343
1841748,12500,4517556,343
