Times (us),interval (us),strain (raw),sensorValue0 (raw)
66612,66612,4487990,431
79112,12500,4487572,429
91612,12500,4487386,428
104116,12504,4487788,427
116616,12500,4487884,426
129116,12500,4487419,425
141616,12500,4487258,424
154120,12504,4487757,424
166620,12500,4487887,423
179120,12500,4487488,422
191624,12504,4488149,421
204124,12500,4487955,420
216624,12500,4487380,419
229124,12500,4487626,418
241624,12500,4488135,418
254124,12500,4487810,417
266624,12500,4487321,416
279128,12504,4487938,415
291628,12500,4488272,415
304132,12504,4487563,414
316632,12500,4487881,413
329132,12500,4488202,412
341636,12504,4487627,411
354136,12500,4487489,411
366636,12500,4488095,410
379136,12500,4487995,409
391640,12504,4487405,408
404140,12500,4487595,408
416640,12500,4488171,407
429140,12500,4487230,406
441640,12500,4487683,405
454140,12500,4488379,405
466640,12500,4487914,404
479144,12504,4487414,403
491648,12504,4487872,402
504148,12500,4488413,402
516648,12500,4487932,401
529148,12500,4487621,400
541648,12500,4488307,400
554152,12504,4487886,399
566656,12504,4487714,398
579156,12500,4488243,397
591660,12504,4488349,397
604164,12504,4487638,396
616668,12504,4487667,395
629168,12500,4488321,394
641672,12504,4488494,394
654172,12500,4487866,394
666672,12500,4488467,393
679176,12504,4488206,392
691676,12500,4487644,391
704176,12500,4488011,391
716680,12504,4488581,390
729184,12504,4488315,389
741684,12500,4487821,389
754184,12500,4488253,388
766684,12500,4488667,387
779184,12500,4488048,386
791684,12500,4488417,386
804184,12500,4488802,386
816684,12500,4488096,385
829188,12504,4487731,384
841692,12504,4488392,383
854196,12504,4488631,383
866696,12500,4487791,382
879196,12500,4487792,381
891700,12504,4488573,381
904200,12500,4487936,381
916700,12500,4487982,380
929204,12504,4488599,379
941704,12500,4488424,379
954204,12500,4487821,378
966704,12500,4488152,377
979208,12504,4488770,376
991708,12500,4488322,376
1004208,12500,4487726,376
1016708,12500,4488131,375
1029208,12500,4488256,374
1041712,12504,4487891,374
1054212,12500,4488355,374
1066716,12504,4488722,373
1079220,12504,4488185,372
1091724,12504,4487911,372
1104224,12500,4488388,371
1116728,12504,4488741,371
1129228,12500,4488247,370
1141732,12504,4488061,369
1154232,12500,4488562,369
1166732,12500,4488271,368
1179232,12500,4488266,367
1191732,12500,4488243,367
1204236,12504,4488191,367
1216736,12500,4488381,366
1229236,12500,4488630,365
1241740,12504,4488621,365
1254244,12504,4488363,365
1266744,12500,4488508,364
1279248,12504,4488476,363
1291748,12500,4488272,363
1304248,12500,4488319,363
1316748,12500,4488397,362
1329248,12500,4488316,361
1341748,12500,4488337,361
1354252,12504,4488515,361
1366756,12504,4488587,360
1379256,12500,4488376,359
1391756,12500,4488445,359
1404260,12504,4488467,359
1416760,12500,4488477,358
1429260,12500,4488413,357
1441760,12500,4488395,357
1454260,12500,4488468,357
1466760,12500,4488562,356
1479260,12500,4488584,355
1491760,12500,4488507,355
1504260,12500,4488526,355
1516764,12504,4488620,354
1529264,12500,4488720,353
1541768,12504,4488548,353
1554268,12500,4488463,353
1566768,12500,4488518,352
1579268,12500,4488402,352
1591768,12500,4488420,351
1604272,12504,4488402,351
1616772,12500,4488497,351
1629276,12504,4488628,350
1641776,12500,4488402,349
1654276,12500,4488317,349
1666776,12500,4488654,349
1679276,12500,4488793,348
1691780,12504,4488403,348
1704280,12500,4488480,348
1716780,12500,4488947,347
1729284,12504,4489078,346
1741784,12500,4488468,346
1754284,12500,4488994,346
1766784,12500,4488893,346
1779284,12500,4488301,345
1791784,12500,4488433,344
1804284,12500,4488881,345
1816784,12500,4488803,344
1829284,12500,4488577,343
1841784,12500,4488685,343
1854284,12500,4488800,343
1866784,12500,4488358,342
1879284,12500,4488730,342
1891784,12500,4488886,341
1904288,12504,4488620,341
1916792,12504,4488538,341
1929292,12500,4488780,340
1941792,12500,4489162,340
1954296,12504,4488907,340
1966800,12504,4488412,340
1979300,12500,4488709,339
1991800,12500,4488611,339
2004300,12500,4488245,339
2016800,12500,4488874,338
2029300,12500,4489325,337
2041804,12504,4488695,337
2054308,12504,4488252,337
2066808,12500,4488891,337
2079308,12500,4489174,336
2091812,12504,4488542,336
2104316,12504,4489027,336
2116820,12504,4489103,336
2129320,12500,4488429,335
2141820,12500,4488521,335
2154320,12500,4489070,335
2166820,12500,4488943,334
2179320,12500,4488268,334
2191820,12500,4488489,333
2204320,12500,4488967,333
2216820,12500,4488890,333
2229320,12500,4489051,332
2241820,12500,4488868,332
2254320,12500,4488456,332
2266820,12500,4488527,332
2279320,12500,4488803,331
2291824,12504,4488616,331
2304324,12500,4488380,331
2316824,12500,4488639,331
2329328,12504,4489008,330
2341832,12504,4488414,330
2354336,12504,4488605,330
2366836,12500,4488858,330
2379336,12500,4488644,329
2391840,12504,4488398,329
2404344,12504,4488635,329
2416848,12504,4488878,329
2429348,12500,4488677,328
2441852,12504,4488583,328
2454352,12500,4488743,328
2466856,12504,4488685,328
2479356,12500,4488429,327
2491856,12500,4488505,327
2504356,12500,4488569,327
2516856,12500,4488668,327
2529356,12500,4488599,326
2541856,12500,4488483,326
2554356,12500,4488579,326
2566856,12500,4488590,326
2579356,12500,4488714,325
2591856,12500,4489035,325
2604356,12500,4488484,325
2616856,12500,4487892,325
2629356,12500,4488661,324
2641860,12504,4489487,324
2654360,12500,4488704,324
2666864,12504,4487700,324
2679368,12504,4488640,323
2691868,12500,4489433,323
2704368,12500,4487765,323
2716872,12504,4489086,323
2729372,12500,4489426,322
2741872,12500,4488035,322
2754376,12504,4487878,322
2766876,12500,4489206,322
2779376,12500,4489100,321
2791876,12500,4487910,321
2804380,12504,4487999,321
2816880,12500,4489193,321
2829384,12504,4488030,320
2841884,12500,4488112,320
2854388,12504,4489075,320
2866888,12500,4488859,320
2879388,12500,4487844,320
2891892,12504,4488164,319
2904392,12500,4489051,320
2916892,12500,4488697,320
2929392,12500,4488027,319
2941892,12500,4489049,319
2954392,12500,4488279,319
2966892,12500,4487727,319
2979396,12504,4488397,318
2991896,12500,4488866,318
3004396,12500,4488189,318
3016896,12500,4488008,318
3029396,12500,4488757,317
3041896,12500,4488760,317
3054396,12500,4488152,317
3066900,12504,4488783,317
3079404,12504,4488538,317
3091908,12504,4488055,316
3104408,12500,4488374,316
3116908,12500,4488789,316
3129408,12500,4488327,316
3141908,12500,4488149,315
3154412,12504,4488669,316
3166916,12504,4488600,316
3179420,12504,4488115,315
3191924,12504,4488440,315
3204428,12504,4488539,315
3216932,12504,4488329,315
3229432,12500,4488318,314
3241932,12500,4488431,314
3254432,12500,4488268,314
3266932,12500,4488152,314
3279432,12500,4488535,314
3291932,12500,4488692,313
3304436,12504,4488176,314
3316936,12500,4488480,314
3329436,12500,4488564,313
3341936,12500,4488293,313
3354440,12504,4488321,313
3366944,12504,4488671,313
3379444,12500,4488518,313
3391948,12504,4488136,312
3404448,12500,4488360,312
3416952,12504,4488411,312
3429456,12504,4488166,312
3441956,12500,4488465,311
3454456,12500,4488500,312
3466960,12504,4488249,312
3479464,12504,4488102,311
3491968,12504,4488499,311
3504468,12500,4488654,311
3516968,12500,4488151,311
3529468,12500,4488146,311
3541968,12500,4488645,310
3554468,12500,4488261,311
3566968,12500,4488255,311
3579468,12500,4488489,310
3591972,12504,4488355,310
3604476,12504,4488138,310
3616976,12500,4488380,310
3629480,12504,4488507,310
3641980,12500,4488368,309
3654484,12504,4488253,309
3666988,12504,4488452,310
3679488,12500,4488373,309
3691992,12504,4488122,309
3704492,12500,4488346,309
3716992,12500,4488567,309
3729496,12504,4488400,309
3741996,12500,4488168,309
3754500,12504,4488279,309
3767004,12504,4488329,309
3779508,12504,4488177,309
3792012,12504,4488520,308
3804512,12500,4488415,308
3817012,12500,4488105,309
3829512,12500,4488395,308
3842012,12500,4488505,308
3854512,12500,4488144,308
3867016,12504,4488002,308
3879516,12500,4488365,308
3892016,12500,4488432,307
3904524,12508,4488235,307
3917024,12500,4488468,308
3929524,12500,4488408,307
3942028,12504,4488076,307
3954528,12500,4488181,307
3967032,12504,4488462,307
3979532,12500,4488429,307
3992036,12504,4488083,307
4004536,12500,4488035,307
4017036,12500,4488477,307
4029536,12500,4488142,307
4042036,12500,4488123,306
4054540,12504,4488260,306
4067040,12500,4488181,307
4079544,12504,4488017,306
4092044,12500,4488140,306
4104544,12500,4488421,306
4117048,12504,4488210,306
4129548,12500,4487934,306
4142048,12500,4488486,305
4154548,12500,4488124,305
4167052,12504,4487949,306
4179552,12500,4488342,306
4192056,12504,4488433,305
4204560,12504,4488042,305
4217060,12500,4488015,306
4229564,12504,4488312,305
4242064,12500,4488302,305
4254564,12500,4488195,305
4267064,12500,4488337,305
4279564,12500,4488140,305
4292064,12500,4488103,304
4304568,12504,4488363,304
4317068,12500,4488392,305
4329568,12500,4488258,305
4342068,12500,4488088,304
4354568,12500,4488078,304
4367072,12504,4488390,305
4379572,12500,4488151,304
4392072,12500,4488167,304
4404572,12500,4488546,304
4417072,12500,4488464,304
4429572,12500,4487985,304
4442072,12500,4488155,304
4454576,12504,4488730,304
4467076,12500,4488401,304
4479576,12500,4487872,304
4492080,12504,4488869,303
4504580,12500,4488267,303
4517084,12504,4488099,304
4529584,12500,4488524,304
4542084,12500,4488531,303
4554584,12500,4488059,303
4567088,12504,4488175,304
4579588,12500,4488599,304
4592088,12500,4488406,303
4604588,12500,4488059,303
4617092,12504,4488648,303
4629592,12500,4488417,303
4642092,12500,4488167,303
4654592,12500,4488400,303
4667092,12500,4488439,303
4679596,12504,4488377,303
4692100,12504,4488206,303
4704600,12500,4488262,303
4717104,12504,4488369,303
4729604,12500,4488406,303
4742104,12500,4488537,302
4754604,12500,4488524,302
4767104,12500,4488454,303
4779604,12500,4488333,303
4792108,12504,4488447,302
4804616,12508,4488401,302
4817116,12500,4488223,303
4829620,12504,4488306,303
4842120,12500,4488471,302
4854620,12500,4488149,302
4867120,12500,4488446,303
4879624,12504,4488709,303
4892124,12500,4488389,302
4904624,12500,4488179,302
4917124,12500,4488576,302
4929624,12500,4488477,302
4942124,12500,4488298,302
4954628,12504,4488490,302
4967128,12500,4488538,302
4979628,12500,4488343,302
4992128,12500,4488435,302
5004628,12500,4488355,302
5017128,12500,4488248,302
5029628,12500,4488218,302
5042128,12500,4488651,302
5054628,12500,4488794,302
