Times (us),interval (us),strain (raw),sensorValue0 (raw)
66644,66644,4055395,433
79144,12500,4055484,430
91644,12500,4056535,429
104144,12500,4056538,429
116644,12500,4055522,428
129144,12500,4055640,426
141648,12504,4056713,426
154148,12500,4056578,425
166648,12500,4055306,424
179148,12500,4055226,423
191648,12500,4056352,422
204148,12500,4055265,422
216648,12500,4055372,421
229148,12500,4056329,420
241648,12500,4056200,419
254148,12500,4055319,419
266648,12500,4055658,418
279148,12500,4056467,417
291648,12500,4056058,416
304148,12500,4055437,416
316652,12504,4056097,415
329156,12504,4055665,414
341660,12504,4055349,413
354160,12500,4055888,413
366660,12500,4055911,412
379160,12500,4054957,411
391664,12504,4054758,410
404164,12500,4055655,410
416664,12500,4055568,409
429164,12500,4054961,408
441668,12504,4055646,407
454168,12500,4055094,407
466668,12500,4054242,407
479168,12500,4054506,405
491672,12504,4055057,405
504176,12504,4054522,405
516676,12500,4053914,404
529180,12504,4054303,403
541680,12500,4054892,402
554180,12500,4053806,402
566680,12500,4054382,402
579180,12500,4054732,400
591684,12504,4053935,400
604184,12500,4053530,400
616688,12504,4054227,399
629188,12500,4054558,398
641692,12504,4054027,397
654192,12500,4053909,397
666696,12504,4054545,397
679196,12500,4054076,395
691696,12500,4054113,395
704200,12504,4054508,395
716700,12500,4054242,394
729200,12500,4053954,393
741704,12504,4054187,392
754204,12500,4054398,392
766704,12500,4054079,392
779204,12500,4053925,390
791708,12504,4054467,390
804208,12500,4053915,390
816708,12500,4053609,389
829208,12500,4054074,388
841712,12504,4054179,387
854212,12500,4053761,387
866712,12500,4053861,387
879216,12504,4055391,386
891716,12500,4067628,385
904216,12500,4091412,385
916716,12500,4105405,385
929220,12504,4112301,383
941720,12500,4120910,383
954220,12500,4127536,383
966724,12504,4131092,382
979224,12500,4130944,381
991724,12500,4126276,380
1004228,12504,4120161,380
1016732,12504,4115191,380
1029232,12500,4093463,379
1041736,12504,4082020,378
1054240,12504,4076344,378
1066744,12504,4071700,378
1079244,12500,4066223,377
1091748,12504,4062948,376
1104252,12504,4063327,376
1116752,12500,4065325,376
1129256,12504,4067398,375
1141764,12508,4069491,374
1154268,12504,4070144,374
1166768,12500,4072984,374
1179272,12504,4078449,373
1191772,12500,4084673,372
1204272,12500,4090716,372
1216776,12504,4097182,372
1229280,12504,4106730,371
1241780,12500,4122209,370
1254284,12504,4145208,370
1266784,12500,4177037,370
1279284,12500,4254627,369
1291784,12500,4290344,368
1304284,12500,4319695,368
1316788,12504,4340942,368
1329288,12500,4355012,367
1341788,12500,4364378,366
1354288,12500,4371379,366
1366788,12500,4377689,366
1379288,12500,4384546,365
1391788,12500,4394738,364
1404288,12500,4394170,364
1416788,12500,4386867,364
1429292,12504,4370701,363
1441800,12508,4343767,362
1454300,12500,4304538,362
1466804,12504,4252804,362
1479304,12500,4190541,361
1491808,12504,4124949,360
1504308,12500,4065720,360
1516812,12504,4049027,360
1529312,12500,4071644,359
1541812,12500,4052925,358
1554312,12500,4033031,358
1566812,12500,4053695,358
