Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,501,543,139
8,229,335,135
12,130,203,125
16,45,101,49
20,0,29,0
24,0,0,0
28,12,14,0
32,59,48,67
36,53,50,66
40,5,18,0
44,0,5,0
48,44,38,44
52,64,56,78
56,26,33,31
60,0,4,0
64,0,0,0
68,10,8,0
72,59,46,70
76,56,52,69
80,6,19,0
84,0,0,0
88,38,29,43
92,65,54,82
96,26,33,29
100,0,2,0
104,0,0,0
108,16,12,4
112,64,51,74
116,52,51,63
120,1,15,0
124,0,0,0
128,43,33,50
132,63,54,78
136,20,28,23
140,0,0,0
144,0,0,0
148,16,12,3
152,59,47,70
156,50,48,64
160,2,16,0
164,0,0,0
168,0,0,0
172,39,29,71
176,14,17,21
180,0,0,0
184,0,0,0
188,17,11,7
192,65,51,77
196,52,51,63
200,0,15,0
204,0,0,0
208,0,0,0
212,43,34,45
216,11,17,15
220,0,0,0
224,0,0,0
228,22,16,13
232,64,51,74
236,46,45,57
240,0,12,0
244,0,0,0
248,0,0,0
252,41,31,44
256,9,14,15
260,0,0,0
264,0,0,0
268,20,14,10
272,63,49,76
276,48,47,60
280,0,14,0
284,0,0,0
288,0,0,0
292,48,36,52
296,66,57,79
300,0,14,0
304,0,0,0
308,26,21,20
312,68,56,80
316,45,46,53
320,0,10,0
324,0,0,0
328,0,0,0
332,47,36,50
336,61,53,76
340,21,29,24
344,0,1,0
348,28,25,20
352,63,53,76
356,42,44,53
360,0,11,0
364,0,0,0
368,0,0,0
372,48,36,54
376,65,56,81
380,20,30,20
384,0,0,0
388,28,24,23
392,67,56,82
396,44,46,52
400,0,10,0
404,0,0,0
408,0,1,0
412,53,41,58
416,62,55,75
420,15,25,15
424,0,0,0
428,31,26,28
432,66,55,78
436,37,40,46
440,0,7,0
444,0,0,0
448,0,1,0
452,49,38,55
456,61,53,76
460,17,27,17
464,0,0,0
468,0,0,0
472,45,33,73
476,32,30,45
480,0,3,0
484,0,0,0
488,0,0,0
492,55,42,63
496,62,56,75
500,13,24,9
504,0,0,0
508,0,0,0
512,47,35,76
516,27,28,38
520,0,0,0
524,0,0,0
528,5,4,0
532,55,43,61
536,57,51,71
540,11,22,10
544,0,0,0
548,0,0,0
552,26,18,20
556,18,19,35
560,0,0,0
564,0,0,0
568,3,1,0
572,55,41,64
576,60,54,75
580,11,23,7
584,0,0,0
588,0,0,0
592,32,23,29
596,68,56,80
600,2,14,0
604,0,0,0
608,9,9,0
612,60,48,69
616,57,53,69
620,7,19,2
624,0,0,0
628,0,0,0
632,31,23,27
636,63,51,77
640,0,12,0
644,0,0,0
648,10,10,0
652,56,44,65
656,55,51,70
660,8,20,3
664,0,0,0
668,0,0,0
672,33,24,32
676,68,56,83
680,37,41,42
684,0,4,0
688,13,14,0
692,62,51,73
696,57,55,69
700,5,19,0
704,0,0,0
708,0,0,0
712,37,28,36
716,64,54,78
720,31,36,38
724,0,5,0
728,18,18,4
732,62,51,71
736,51,50,64
740,3,16,0
744,0,0,0
748,0,0,0
752,35,26,35
756,65,53,81
760,33,38,39
764,0,6,0
768,16,16,2
772,61,49,73
776,54,52,66
780,3,18,0
784,0,0,0
788,0,0,0
792,41,31,43
796,68,57,81
800,28,35,32
804,0,2,0
808,0,0,0
812,49,37,72
816,44,40,57
820,0,9,0
824,0,0,0
828,0,0,0
832,41,31,41
836,63,53,77
840,27,33,33
844,0,4,0
848,0,0,0
852,10,7,0
856,28,24,53
860,0,2,0
864,0,0,0
868,0,0,0
872,42,30,45
876,67,56,82
880,27,34,29
884,0,2,0
888,0,0,0
892,16,12,4
896,30,27,53
900,0,1,0
904,0,0,0
908,0,0,0
912,47,36,50
916,64,55,77
920,21,29,25
924,0,0,0
928,0,0,0
932,14,11,2
936,59,46,70
940,2,12,0
944,0,0,0
948,0,0,0
952,44,33,47
956,63,54,79
960,23,31,25
964,0,2,0
968,0,0,0
972,18,13,7
976,65,52,77
980,51,50,61
984,0,8,0
988,0,5,0
992,51,42,57
996,66,59,80
1000,19,29,19
1004,0,0,0
1008,0,0,0
1012,21,16,11
1016,62,50,73
1020,46,45,57
1024,0,7,0
1028,2,9,0
1032,51,42,55
1036,60,54,75
1040,17,27,19
1044,0,0,0
1048,0,0,0
1052,20,14,10
1056,64,50,77
1060,49,48,59
1064,0,14,0
1068,1,8,0
1072,51,42,58
1076,64,57,79
1080,17,28,15
1084,0,0,0
1088,0,0,0
1092,26,19,19
1096,67,54,78
1100,44,45,52
1104,0,10,0
1108,0,0,0
1112,46,35,59
1116,57,49,72
1120,11,20,10
1124,0,0,0
1128,0,0,0
1132,24,18,17
1136,63,50,76
1140,43,44,54
1144,0,11,0
1148,0,0,0
1152,43,32,56
1156,55,47,73
1160,13,22,11
1164,0,0,0
1168,0,0,0
1172,27,19,22
1176,68,55,81
1180,43,45,50
1184,0,9,0
1188,0,0,0
1192,0,1,0
1196,38,31,67
1200,1,9,2
1204,0,0,0
1208,0,0,0
1212,31,23,26
1216,65,53,77
1220,38,40,46
1224,0,7,0
1228,0,0,0
1232,0,0,0
1236,49,37,56
1240,6,13,3
1244,0,0,0
1248,0,0,0
1252,29,20,25
1256,65,52,80
1260,40,42,47
1264,0,9,0
1268,0,0,0
1272,1,1,0
1276,56,43,63
1280,8,16,1
1284,0,0,0
1288,0,0,0
1292,35,25,33
1296,68,56,81
1300,35,39,40
1304,0,5,0
1308,0,0,0
1312,4,5,0
1316,53,41,60
1320,57,51,72
1324,0,10,0
1328,0,0,0
1332,35,29,33
1336,63,53,78
1340,33,38,41
1344,0,7,0
1348,0,0,0
1352,2,2,0
1356,56,43,65
1360,61,55,75
1364,11,23,5
1368,0,1,0
1372,38,31,38
1376,69,58,83
1380,33,39,38
1384,0,5,0
1388,0,0,0
1392,9,8,0
1396,59,47,67
1400,56,52,68
1404,7,19,3
1408,0,3,0
1412,43,36,42
1416,66,57,79
1420,28,35,33
1424,0,3,0
1428,0,0,0
1432,8,7,0
1436,56,43,65
1440,56,51,71
1444,8,21,2
1448,0,0,0
1452,35,27,39
1456,63,52,80
1460,29,35,34
1464,0,4,0
1468,0,0,0
1472,11,8,0
1476,62,49,72
1480,56,53,68
1484,4,18,0
1488,0,0,0
1492,0,0,0
1496,44,34,74
1500,16,19,24
1504,0,0,0
1508,0,0,0
1512,15,11,1
1516,60,47,68
1520,52,49,64
1524,4,17,0
1528,0,0,0
1532,0,0,0
1536,39,29,70
1540,15,17,25
1544,0,0,0
1548,0,0,0
1552,13,8,0
1556,61,47,73
1560,54,51,67
1564,3,17,0
1568,0,0,0
1572,0,0,0
1576,41,31,43
1580,14,19,21
1584,0,0,0
1588,0,0,0
1592,20,13,8
1596,65,51,74
1600,49,48,60
1604,0,13,0
1608,0,0,0
1612,0,0,0
1616,39,30,40
1620,63,52,79
1624,0,12,0
1628,0,0,0
1632,19,16,8
1636,61,49,73
1640,49,47,61
1644,0,15,0
1648,0,0,0
1652,0,0,0
1656,42,32,46
1660,68,57,82
1664,0,15,0
1668,0,0,0
1672,21,17,12
1676,66,54,79
1680,49,49,58
1684,0,13,0
1688,0,0,0
1692,0,0,0
1696,46,36,48
1700,63,54,77
1704,22,30,25
1708,0,0,0
1712,27,25,17
1716,64,54,76
1720,44,45,54
1724,0,11,0
1728,0,0,0
1732,0,0,0
1736,43,33,48
1740,64,54,80
1744,24,32,25
1748,0,1,0
1752,23,21,16
1756,64,52,79
1760,46,47,56
1764,0,12,0
1768,0,0,0
1772,0,0,0
1776,50,39,55
1780,65,57,78
1784,18,28,19
1788,0,0,0
1792,29,24,24
1796,67,56,80
1800,41,44,48
1804,0,9,0
1808,0,0,0
1812,0,0,0
1816,48,37,52
1820,60,52,75
1824,18,27,20
1828,0,0,0
1832,0,0,0
1836,45,32,71
1840,33,31,47
1844,0,4,0
1848,0,0,0
1852,0,0,0
1856,51,38,58
1860,64,56,79
1864,17,27,14
1868,0,0,0
1872,0,0,0
1876,26,19,18
1880,23,23,42
1884,0,0,0
1888,0,0,0
1892,2,1,0
1896,55,42,60
1900,60,53,72
1904,13,23,13
1908,0,0,0
1912,0,0,0
1916,23,17,15
1920,18,18,36
1924,0,0,0
1928,0,0,0
1932,1,1,0
1936,52,39,59
1940,60,53,75
1944,14,25,11
1948,0,0,0
1952,0,0,0
1956,28,20,22
1960,68,55,81
1964,3,15,0
1968,0,0,0
1972,4,5,0
1976,58,46,67
1980,60,55,73
1984,9,22,5
1988,0,0,0
1992,0,0,0
1996,30,23,24
2000,63,52,77
