Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,534,577,520
8,504,527,505
12,497,505,500
16,492,494,494
20,490,487,491
24,492,487,493
28,495,489,495
32,493,489,493
36,491,486,490
40,492,486,493
44,495,489,495
48,494,490,494
52,491,487,491
56,491,486,492
60,495,489,495
64,495,490,494
68,492,487,492
72,491,486,493
76,495,489,496
80,496,491,495
84,493,488,492
88,492,486,492
92,494,488,495
96,497,491,496
100,494,490,493
104,492,487,493
108,494,488,496
112,497,491,497
116,495,490,494
120,492,487,492
124,494,488,496
128,497,491,497
132,496,491,495
136,492,488,492
140,493,487,494
144,496,490,497
148,496,491,495
152,492,488,492
156,493,487,494
160,496,490,496
164,495,490,495
168,492,487,492
172,491,486,492
176,494,488,495
180,495,490,495
184,492,488,492
188,491,485,492
192,494,488,495
196,495,490,495
200,492,488,492
204,490,485,491
208,493,487,494
212,495,489,495
216,493,489,492
220,490,485,490
224,492,486,493
228,495,489,495
232,494,489,493
236,491,486,491
240,492,486,493
244,495,489,495
248,494,489,493
252,491,486,491
256,491,486,492
260,495,489,495
264,495,490,495
268,492,487,492
272,492,486,493
276,495,489,496
280,496,491,495
284,493,488,492
288,492,486,493
292,495,489,496
296,496,491,496
300,494,489,493
304,492,487,492
308,494,488,495
312,497,491,497
316,495,490,494
320,492,487,492
324,494,488,495
328,497,491,497
332,495,490,494
336,492,487,492
340,494,488,495
344,497,491,497
348,496,491,495
352,493,488,492
356,493,487,494
360,496,490,496
364,496,491,495
368,492,488,492
372,492,486,493
376,495,489,496
380,495,490,494
384,493,488,492
388,491,486,492
392,494,488,495
396,495,490,495
400,493,488,492
404,491,485,491
408,493,487,494
412,495,490,495
416,493,488,492
420,490,485,491
424,493,487,493
428,495,489,495
432,494,489,493
436,491,486,491
440,492,486,493
444,495,489,495
448,494,489,493
452,491,486,491
456,492,486,493
460,495,489,496
464,495,490,494
468,492,487,492
472,492,486,493
476,495,489,496
480,496,491,496
484,493,488,492
488,492,486,493
492,495,489,496
496,496,491,496
500,493,489,493
504,492,487,493
508,495,489,496
512,497,492,497
516,495,491,494
520,492,487,492
524,494,488,495
528,497,491,497
532,495,491,494
536,492,487,492
540,494,488,495
544,496,491,497
548,495,490,494
552,492,487,492
556,493,487,494
560,496,490,496
564,496,491,495
568,493,488,492
572,492,487,493
576,495,489,496
580,495,490,494
584,492,487,491
588,491,486,492
592,494,488,495
596,495,490,495
600,493,488,492
604,490,485,491
608,493,487,494
612,495,490,495
616,493,488,492
620,490,485,491
624,492,486,494
628,495,489,495
632,493,488,492
636,490,485,491
640,492,486,493
644,495,489,495
648,494,489,493
652,491,486,491
656,492,486,493
660,495,489,496
664,495,490,494
668,492,487,492
672,492,486,493
676,495,489,496
680,495,490,495
684,493,488,492
688,492,486,493
692,495,489,496
696,497,491,496
700,494,489,493
704,492,487,493
708,495,489,496
712,497,491,497
716,494,490,493
720,492,487,493
724,495,489,496
728,497,492,497
732,496,491,495
736,493,488,492
740,493,488,495
744,496,491,497
748,495,491,495
752,492,487,492
756,493,487,494
760,496,490,496
764,495,490,494
768,492,488,492
772,492,486,493
776,495,489,496
780,495,490,495
784,492,487,492
788,491,486,492
792,494,488,495
796,495,490,494
800,492,487,491
804,491,485,491
808,494,488,495
812,496,490,495
816,493,489,492
820,491,485,490
824,493,487,494
828,495,490,495
832,493,488,492
836,490,485,491
840,492,486,493
844,495,489,495
848,494,489,493
852,491,486,491
856,492,486,493
860,495,489,496
864,495,490,494
868,492,487,491
872,492,486,493
876,495,489,496
880,496,491,495
884,492,488,492
888,492,487,493
892,496,490,496
896,497,492,496
900,494,489,493
904,492,487,493
908,495,489,496
912,497,491,496
916,494,490,494
920,492,487,493
924,495,489,496
928,497,492,497
932,495,490,494
936,492,487,493
940,494,488,495
944,497,491,497
948,496,491,495
952,492,488,492
956,493,487,494
960,496,490,496
964,496,491,495
968,492,487,492
972,492,487,493
976,496,490,496
980,495,490,494
984,492,488,491
988,491,486,492
992,494,488,495
996,495,490,495
1000,492,488,492
1004,491,485,491
1008,494,488,495
1012,495,490,494
1016,492,488,492
1020,490,485,491
1024,493,487,494
1028,495,490,495
1032,493,489,492
1036,490,485,490
1040,492,486,494
1044,495,489,495
1048,494,489,493
1052,491,486,491
1056,492,486,493
1060,495,489,496
1064,494,489,493
1068,492,487,491
1072,492,486,493
1076,495,489,496
1080,495,490,495
1084,492,488,492
1088,492,486,493
1092,495,489,496
1096,496,491,496
1100,493,488,493
1104,492,487,493
1108,495,489,496
1112,497,492,497
1116,495,490,494
1120,492,487,493
1124,494,488,496
1128,497,491,497
1132,495,490,494
1136,492,487,492
1140,494,488,495
