Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
100,440,399,372
200,385,382,374
300,371,370,367
400,362,360,359
500,354,352,351
600,347,345,344
700,341,339,338
800,335,333,332
900,329,328,326
1000,324,323,321
1100,320,319,317
1200,316,315,313
1300,313,311,310
1400,310,309,307
1500,307,306,304
1600,305,304,302
1700,302,301,300
1800,301,300,298
1900,299,298,296
2000,297,297,295
2100,296,296,294
2200,295,295,293
2300,294,294,292
2400,293,293,291
2500,293,292,290
2600,292,292,290
2700,292,291,289
2800,291,291,289
2900,291,290,288
3000,290,290,288
3100,290,289,287
3200,290,289,287
3300,289,289,287
3400,289,289,287
3500,289,288,286
