Times (us),interval (us),strain (raw),sensorValue0 (raw)
66616,66616,4215295,430
79116,12500,4213567,429
91616,12500,4214434,428
104116,12500,4215691,427
116620,12504,4214565,425
129120,12500,4213447,425
141620,12500,4214945,425
154124,12504,4215881,423
166624,12500,4214204,422
179124,12500,4213517,422
191624,12500,4215522,421
204124,12500,4214006,420
216628,12504,4213775,418
229128,12500,4215245,418
241632,12504,4215253,418
254136,12504,4213914,416
266636,12500,4214053,415
279136,12500,4215352,415
291636,12500,4215153,415
304136,12500,4213903,413
316636,12500,4215500,412
329140,12504,4214973,412
341640,12500,4213948,412
354144,12504,4214501,410
366648,12504,4215498,409
379148,12500,4214771,409
391648,12500,4213903,409
404152,12504,4214560,407
416652,12500,4215264,406
429152,12500,4214134,406
441656,12504,4214778,406
454156,12500,4215021,404
466660,12504,4214523,403
479160,12500,4215533,403
491664,12504,4218307,403
504164,12500,4220703,401
516668,12504,4222670,400
529172,12504,4224652,400
541676,12504,4226685,400
554176,12500,4230613,399
566680,12504,4232801,397
579180,12500,4234938,397
591680,12500,4237521,397
604180,12500,4240143,396
616684,12504,4242183,395
629184,12500,4244313,395
641688,12504,4246921,395
654192,12504,4249667,393
666692,12500,4255198,392
679192,12500,4257652,392
691692,12500,4259575,392
704196,12504,4260835,391
716696,12500,4261146,390
729200,12504,4260628,389
741700,12500,4259035,389
754200,12500,4256253,388
766700,12500,4253374,387
779200,12500,4251130,387
791704,12504,4248964,387
804204,12500,4248210,386
816708,12504,4247384,384
829208,12500,4246785,384
841712,12504,4246732,384
854212,12500,4247368,383
866712,12500,4248620,382
879212,12500,4249922,382
891712,12500,4250756,382
904212,12500,4251277,381
916712,12500,4252802,379
929212,12500,4252688,379
941712,12500,4248034,379
954216,12504,4236049,378
966720,12504,4226401,377
979220,12500,4229405,377
991724,12504,4241472,377
1004228,12504,4249183,376
1016732,12504,4243954,375
1029232,12500,4226353,375
1041732,12500,4233626,375
1054232,12500,4245283,374
1066732,12500,4248339,372
1079232,12500,4239522,372
1091736,12504,4228541,372
1104236,12500,4227538,371
1116736,12500,4237597,370
1129236,12500,4247582,370
1141736,12500,4246109,370
1154236,12500,4227099,369
1166740,12504,4230731,368
1179244,12504,4242019,368
1191744,12500,4248263,368
1204244,12500,4242589,367
1216744,12500,4231550,366
1229244,12500,4227408,366
1241744,12500,4234577,366
1254244,12500,4245029,365
1266748,12504,4238541,364
1279252,12504,4229085,364
1291752,12500,4229149,364
1304252,12500,4238715,363
1316752,12500,4246909,362
1329256,12504,4244638,362
1341756,12500,4234639,362
1354260,12504,4227973,361
1366760,12500,4232244,360
1379260,12500,4242322,360
1391764,12504,4241203,360
1404264,12500,4231436,359
1416764,12500,4228546,358
1429268,12504,4235818,358
1441772,12504,4245098,358
1454272,12500,4246032,357
1466772,12500,4237891,356
1479272,12500,4229521,356
1491772,12500,4230275,356
1504276,12504,4239250,355
1516776,12500,4243322,354
1529280,12504,4234079,354
1541780,12500,4228960,354
1554284,12504,4233546,354
1566784,12500,4242537,352
1579284,12500,4246012,352
1591788,12504,4240087,353
1604288,12500,4231148,352
1616788,12500,4229179,351
1629288,12500,4244828,351
1641788,12500,4244859,351
1654292,12504,4236795,350
1666792,12500,4229754,349
1679292,12500,4231516,349
1691796,12504,4240129,349
1704296,12500,4245898,349
1716800,12504,4242345,347
1729300,12500,4233660,347
1741800,12500,4229331,348
1754304,12504,4242776,347
1766804,12500,4245581,346
1779308,12504,4239357,345
1791808,12500,4231318,346
1804312,12504,4230281,345
1816812,12500,4237310,344
1829312,12500,4244549,344
1841812,12500,4243948,344
1854312,12500,4236360,344
1866812,12500,4232429,343
1879316,12504,4240453,342
1891816,12500,4245258,343
1904316,12500,4241623,342
1916816,12500,4233547,341
1929316,12500,4230123,341
1941816,12500,4234973,341
1954320,12504,4242530,341
1966820,12500,4244523,340
1979324,12504,4238894,339
1991824,12500,4231238,340
2004328,12504,4237785,339
2016828,12500,4244160,338
2029328,12500,4243302,338
2041828,12500,4236210,338
2054328,12500,4230961,338
2066828,12500,4233256,337
2079328,12500,4240390,337
2091828,12500,4244487,337
2104332,12504,-783976,337
2127088,22756,4236119,336
2139592,12504,4242865,336
2152096,12504,4243634,335
2164596,12500,4237637,334
2177100,12504,4231941,334
2189604,12504,4232639,335
2202104,12500,4238987,334
