Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,264,282,293
8,264,269,276
12,263,263,266
16,263,260,259
20,262,259,257
24,262,260,257
28,263,260,257
32,264,259,256
36,264,260,256
40,264,262,258
44,265,262,259
48,265,261,258
52,265,261,257
56,264,262,258
60,264,262,259
64,263,260,257
68,263,259,256
72,262,260,257
76,262,260,257
80,263,259,256
84,264,259,256
88,264,261,257
92,265,263,259
96,265,262,259
100,265,261,257
104,265,261,258
108,264,262,259
112,263,261,258
116,263,258,256
120,262,258,255
124,262,260,256
128,262,260,256
132,263,259,256
136,264,259,256
140,264,262,258
144,265,262,259
148,265,261,258
152,265,261,257
156,264,262,259
160,264,261,258
164,263,259,256
168,263,259,255
172,262,260,256
176,263,261,257
180,262,259,256
184,263,258,255
188,264,260,256
192,264,262,258
196,264,262,258
200,265,260,257
204,264,261,258
208,264,263,259
212,264,262,258
216,264,260,257
220,263,259,256
224,263,261,257
228,262,260,257
232,263,259,256
236,263,259,255
240,264,261,257
244,264,262,258
248,265,261,257
252,265,261,257
256,265,263,259
260,265,263,260
264,264,261,258
268,264,260,256
272,263,260,257
276,262,261,258
280,262,259,256
284,262,258,254
288,262,259,256
292,263,261,257
296,264,261,257
300,265,261,257
304,266,261,257
308,266,264,260
312,265,263,259
316,265,261,257
320,264,260,257
324,262,261,258
328,262,260,257
332,262,258,255
336,262,258,254
340,262,260,256
344,263,260,257
348,263,259,256
352,265,260,256
356,265,262,258
360,266,264,260
364,266,262,259
368,265,261,258
372,264,262,259
376,263,261,259
380,262,259,256
384,262,258,254
388,261,258,254
392,262,259,256
396,262,259,256
400,263,258,254
404,264,260,256
408,265,263,259
412,266,263,259
416,266,262,258
420,265,262,258
424,264,263,259
428,263,262,259
432,263,259,256
436,262,258,255
440,262,259,256
444,262,260,257
448,262,259,256
452,263,258,255
456,264,261,257
460,265,262,259
464,265,261,257
468,265,261,257
472,265,262,259
476,265,263,260
480,264,261,258
484,263,259,256
488,263,260,256
492,262,260,257
