Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,271,284,294
8,270,272,277
12,263,266,269
16,263,262,263
20,264,259,257
24,271,264,259
28,273,270,265
32,268,267,265
36,268,264,261
40,274,268,263
44,274,272,267
48,266,267,265
52,264,261,259
56,262,258,256
60,267,263,259
64,260,260,258
68,259,256,254
72,260,255,252
76,266,261,256
80,260,260,257
84,260,257,254
88,261,256,253
92,267,262,256
96,262,262,259
100,262,260,257
104,262,258,254
108,268,262,257
112,263,263,260
116,263,261,258
120,263,258,255
124,270,263,258
128,264,264,260
132,265,263,260
136,265,260,257
140,265,260,257
144,265,263,260
148,264,263,260
152,263,259,256
156,262,258,254
160,262,260,257
164,261,260,257
168,261,257,254
172,261,256,253
176,267,262,257
180,261,261,258
184,261,258,256
188,260,256,253
192,267,261,256
196,261,261,258
200,263,260,257
204,264,259,255
208,272,265,259
212,267,266,263
216,267,265,262
220,266,262,259
224,272,266,261
228,274,271,266
232,267,267,265
236,267,263,261
240,272,266,261
244,272,269,265
248,265,265,264
252,263,260,258
256,268,262,258
260,268,266,261
264,263,263,261
268,264,260,257
272,267,261,257
276,275,269,263
280,270,269,266
284,271,268,264
288,271,266,262
292,278,273,267
296,273,272,269
300,272,270,267
304,271,266,263
308,275,270,265
312,270,270,267
316,272,270,266
320,277,270,266
324,285,277,271
328,285,282,277
332,274,275,273
336,269,266,266
340,269,265,263
344,266,265,263
348,256,257,258
352,250,249,249
356,246,243,243
360,249,246,243
364,242,243,242
368,243,239,237
372,245,239,236
376,252,247,241
380,250,248,245
384,253,249,245
388,259,251,246
392,268,261,254
396,262,262,258
400,257,256,254
404,252,249,248
408,255,251,247
412,249,249,248
416,251,248,246
420,252,247,244
424,257,252,246
428,248,250,247
432,249,248,246
436,251,246,243
440,257,250,245
444,253,252,248
448,236,240,241
452,213,217,222
456,242,231,225
460,280,264,250
464,250,253,250
468,315,291,274
472,305,297,286
476,371,346,324
480,347,344,335
484,250,286,299
488,296,287,288
492,291,290,288
496,135,184,217
500,55,99,139
504,34,57,88
508,304,223,178
512,351,313,265
516,554,476,402
520,618,568,507
524,640,615,573
528,612,613,596
532,557,566,572
536,172,295,384
540,55,136,220
544,20,63,122
548,11,31,67
552,8,17,37
556,58,46,44
560,172,136,104
564,481,371,280
568,594,519,433
572,632,592,533
576,646,628,592
580,615,615,603
584,382,451,497
588,158,249,330
592,49,118,192
596,19,55,107
600,11,28,59
604,8,17,34
608,76,61,53
612,278,211,158
616,485,397,313
620,595,528,450
624,632,597,542
628,633,620,590
632,504,538,550
636,310,377,432
640,165,229,296
644,52,114,178
648,20,54,101
652,10,27,55
656,29,31,42
660,140,108,86
664,308,245,190
668,459,388,317
672,569,508,439
676,591,563,517
680,544,547,532
684,452,477,491
688,306,356,398
692,162,222,280
696,59,115,173
700,22,55,99
704,21,34,59
708,86,71,67
712,194,157,127
716,324,269,218
720,430,374,318
