Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,266,284,296
8,265,267,274
12,270,266,266
16,269,268,266
20,261,262,262
24,259,256,254
28,263,256,253
32,263,261,257
36,257,257,256
40,258,253,251
44,265,257,252
48,265,262,257
52,259,260,258
56,260,256,253
60,268,259,254
64,270,266,261
68,264,265,262
72,263,260,257
76,266,259,255
80,262,261,257
84,254,257,256
88,253,252,251
92,258,251,247
96,260,255,250
100,264,262,257
104,264,262,258
108,270,263,258
112,280,272,264
116,281,278,272
120,270,272,270
124,264,262,261
128,265,261,258
132,264,263,260
136,257,258,258
140,257,253,251
144,262,255,250
148,261,259,255
152,255,256,254
156,256,252,249
160,262,254,249
164,261,259,254
168,252,255,253
172,253,250,248
176,262,254,248
180,233,237,239
184,238,239,238
188,225,235,234
192,286,262,250
196,204,218,226
200,76,127,160
204,31,64,99
208,226,177,150
212,360,298,246
216,492,432,367
220,597,543,479
224,633,600,554
228,646,627,598
232,610,616,606
236,334,417,475
240,98,200,291
244,37,92,162
248,18,46,91
252,8,26,53
256,10,18,32
260,131,93,70
264,365,282,209
268,556,468,378
272,619,567,497
276,641,614,569
280,649,636,610
284,496,536,557
288,252,339,409
292,82,165,246
296,32,79,140
300,15,40,80
304,9,23,46
308,19,24,33
312,187,136,99
316,405,320,245
320,566,485,400
324,622,575,510
328,642,618,577
332,582,591,582
336,400,457,495
340,195,274,346
344,86,147,214
348,32,74,126
352,13,38,73
356,9,21,41
360,84,64,56
364,240,185,141
368,400,332,266
372,536,468,395
376,596,552,494
380,586,574,542
384,508,527,528
388,381,424,455
392,220,280,336
396,103,160,219
400,33,79,131
404,15,39,74
408,42,43,56
412,143,110,91
416,261,215,173
420,384,328,273
424,471,422,367
428,509,479,437
432,500,492,470
436,425,444,449
440,324,358,384
444,223,262,301
448,133,175,217
452,80,113,150
456,72,85,108
460,116,106,106
464,186,162,143
468,283,243,208
472,341,308,270
476,407,372,334
480,436,414,383
484,416,414,401
488,362,375,380
492,291,313,332
496,220,248,275
500,160,188,217
504,130,147,170
508,137,138,148
512,163,154,150
516,219,198,181
520,272,248,224
524,330,300,271
528,368,344,316
532,381,368,348
536,356,358,351
540,322,329,333
544,277,291,302
548,231,249,266
552,192,209,227
556,180,186,198
560,179,179,184
564,209,199,192
568,237,225,213
572,277,257,239
576,307,288,268
580,334,318,299
584,330,325,314
588,317,316,312
592,293,296,299
596,272,278,283
600,246,255,263
604,224,231,240
608,214,216,222
612,223,218,218
616,238,231,225
620,251,243,235
624,272,259,248
628,294,281,267
632,304,296,284
636,298,295,289
640,292,290,286
644,287,285,282
648,274,276,277
652,254,260,264
656,244,246,249
660,241,239,240
664,242,241,239
668,249,245,241
672,257,250,244
676,265,257,250
680,278,270,261
684,275,273,267
688,276,272,268
692,275,270,266
696,278,273,269
700,268,269,267
704,264,262,261
708,261,257,256
712,265,260,257
716,258,258,256
720,258,255,253
724,258,253,250
728,264,258,253
732,266,263,258
736,261,260,258
740,263,258,255
744,272,264,258
748,275,271,265
752,271,270,266
756,272,268,264
760,272,267,264
764,269,268,265
768,266,265,263
772,261,259,257
776,256,254,252
780,259,256,253
784,252,253,251
788,253,250,248
