Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,263,281,293
8,263,266,273
12,263,261,263
16,263,261,260
20,263,261,259
24,264,260,257
28,264,260,256
32,264,261,257
36,264,262,258
40,264,261,257
44,264,260,256
48,270,264,259
52,270,267,262
56,270,267,263
60,270,266,262
64,270,266,263
68,270,268,264
72,271,268,264
76,271,267,263
80,271,267,263
84,271,268,265
88,271,268,265
92,271,267,264
96,270,267,263
100,270,267,264
104,269,267,264
108,268,265,262
112,268,264,261
116,267,265,262
120,267,265,262
124,267,264,261
128,267,263,260
132,268,264,261
136,269,266,262
140,270,266,262
144,270,266,262
148,271,267,263
152,271,269,265
156,271,269,265
160,271,268,264
164,271,267,264
168,269,268,265
172,267,266,263
176,266,263,260
180,265,262,259
184,266,263,260
188,266,263,260
192,260,258,256
196,260,256,254
200,260,257,254
204,260,258,254
208,261,258,254
212,264,259,255
216,265,262,257
220,268,265,260
224,270,266,261
228,271,266,262
232,272,268,264
236,271,269,265
240,270,267,264
244,268,264,262
248,266,263,261
252,264,262,260
256,264,261,258
260,263,260,257
264,264,260,256
268,264,261,258
272,265,262,258
276,265,261,257
280,265,261,257
284,265,263,259
288,264,262,259
292,263,259,256
296,261,257,255
300,260,257,254
304,260,258,254
308,261,258,254
312,264,259,255
316,267,264,259
320,269,266,262
324,270,267,262
328,269,265,261
332,267,265,262
336,264,263,261
340,262,260,258
344,260,257,255
348,259,256,253
352,259,257,254
356,260,257,253
360,262,257,253
364,265,260,256
368,266,263,259
372,268,264,260
376,268,264,260
380,267,264,260
384,266,264,260
388,264,263,260
392,263,260,257
396,261,259,256
400,261,258,256
404,261,258,256
408,261,258,254
412,263,258,254
416,264,260,256
420,266,263,259
424,268,263,259
428,269,264,260
432,268,265,261
436,265,264,261
440,262,260,258
444,260,257,255
448,259,257,254
452,261,258,255
456,262,258,255
460,264,259,255
464,265,261,257
468,266,263,259
472,265,263,259
476,266,262,258
480,265,262,258
484,265,262,259
488,265,262,259
492,264,260,257
496,263,260,257
500,262,260,257
504,262,260,257
508,262,258,256
512,263,259,255
516,263,260,256
520,264,262,258
524,265,262,258
528,266,262,258
532,266,263,259
536,265,263,259
540,265,261,258
544,263,260,257
548,262,260,257
552,262,260,257
556,262,259,256
560,262,258,255
564,262,259,255
568,264,261,257
572,265,261,258
576,266,261,257
580,266,262,258
584,266,263,260
588,265,263,259
592,264,261,258
596,263,260,257
600,263,260,257
604,262,260,257
608,262,259,256
612,263,259,256
616,263,260,257
620,264,261,258
624,265,261,257
628,265,261,257
632,265,262,258
636,265,263,259
640,265,261,258
644,264,260,257
648,264,260,257
652,263,261,258
656,263,260,257
660,263,259,256
664,263,260,256
668,263,261,257
672,264,261,257
676,264,260,256
680,264,261,257
684,265,262,258
688,265,262,258
692,264,260,257
696,265,261,257
700,265,262,258
704,264,262,258
708,263,260,257
712,263,260,256
716,263,260,257
720,263,260,257
724,263,259,256
728,263,259,256
732,263,260,256
736,264,262,258
740,265,261,258
744,265,261,257
748,266,262,258
752,265,263,259
756,264,262,258
760,264,260,257
764,263,260,257
768,262,260,257
772,262,259,256
776,262,258,255
780,262,259,255
784,263,261,257
788,265,262,258
792,265,262,258
796,266,262,258
800,265,263,259
804,265,263,259
808,264,261,258
812,263,260,257
816,262,260,257
820,262,260,257
824,262,259,256
828,263,259,255
832,263,260,256
836,264,262,258
840,265,261,258
844,266,261,257
848,266,263,259
852,266,263,260
856,265,263,259
860,264,261,257
864,263,260,257
868,263,261,257
872,262,260,257
876,262,258,255
880,262,258,255
884,263,260,257
888,264,261,257
892,265,261,257
896,265,261,257
900,266,263,259
904,265,264,260
908,265,262,258
912,264,260,257
916,263,260,257
920,262,260,257
924,262,259,256
928,262,259,256
932,263,260,256
936,264,261,257
940,265,261,257
944,265,262,257
948,265,262,258
952,266,263,259
956,265,262,259
960,264,260,257
964,263,260,257
968,263,260,257
972,262,260,256
976,263,259,255
980,263,260,256
984,263,260,257
988,264,261,257
992,264,261,257
996,265,261,257
1000,265,262,258
1004,265,262,259
1008,265,261,258
1012,264,261,257
1016,264,261,258
1020,263,261,258
1024,263,260,257
1028,263,259,256
1032,263,260,257
1036,263,261,257
1040,264,260,257
1044,264,260,256
1048,265,261,257
1052,264,262,258
1056,265,261,258
1060,265,260,257
1064,264,261,257
1068,264,261,258
1072,264,261,257
