Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,267,284,295
8,267,271,277
12,267,265,267
16,267,264,263
20,267,265,263
24,267,264,261
28,266,262,259
32,266,262,259
36,266,264,260
40,267,264,260
44,267,263,259
48,267,263,259
52,267,265,261
56,267,265,261
60,267,264,260
64,267,263,260
68,267,264,261
72,266,265,261
76,267,263,260
80,266,262,259
84,266,263,260
88,266,264,260
92,266,263,260
96,267,263,259
100,267,264,260
104,267,265,261
108,267,264,261
112,267,263,259
116,266,263,260
120,266,264,261
124,266,263,260
128,266,262,259
132,266,262,259
136,266,264,260
140,267,265,261
144,267,263,260
148,268,264,260
152,268,265,261
156,268,265,262
160,267,264,260
164,267,263,260
168,266,264,261
172,266,264,261
176,266,263,260
180,266,262,258
184,267,263,260
188,267,264,261
192,267,264,260
196,267,263,259
200,267,264,261
204,267,265,262
208,267,264,260
212,267,263,259
216,266,263,259
220,266,264,260
224,266,263,260
228,266,262,258
232,267,263,259
236,267,264,261
240,267,264,261
244,267,263,260
248,267,263,260
252,267,265,261
256,267,265,261
260,267,263,260
264,267,263,259
268,267,264,260
272,266,264,261
276,266,263,259
280,266,262,259
284,266,263,260
288,266,264,260
292,267,263,259
296,267,263,259
300,267,264,260
304,267,265,261
308,267,264,261
312,267,263,260
316,267,263,260
320,266,264,261
324,266,263,260
328,266,262,259
332,267,263,259
336,267,264,261
340,267,264,260
344,267,263,260
348,267,264,260
352,267,265,261
356,267,265,261
360,267,263,260
364,266,263,259
368,266,264,260
372,266,265,261
376,267,263,260
380,267,263,259
384,267,264,260
388,267,265,261
392,267,264,260
396,267,263,259
400,267,264,260
404,267,265,261
408,267,264,260
412,267,263,259
416,267,264,260
420,266,265,261
424,266,264,260
428,267,263,259
432,266,263,259
436,272,268,263
440,273,269,265
444,273,269,265
448,273,269,265
452,273,271,267
456,273,270,267
460,273,269,265
464,273,269,265
468,273,270,267
472,272,270,266
476,272,268,265
480,272,268,265
484,272,269,265
488,273,270,266
492,273,269,265
496,273,269,265
500,273,271,267
504,273,271,267
508,273,270,266
512,273,269,265
516,272,269,265
520,272,270,266
524,272,269,266
528,272,268,265
532,273,269,265
536,273,270,267
540,273,270,266
544,273,269,265
548,273,269,266
552,273,270,267
556,273,269,266
560,273,269,265
564,273,268,265
568,273,269,266
572,273,269,266
576,272,269,265
580,273,269,265
584,273,270,266
588,273,270,267
592,273,269,266
596,273,269,265
600,267,266,264
604,267,265,263
608,267,264,261
612,266,262,259
616,266,263,260
620,267,264,261
624,267,263,260
628,267,262,259
632,267,263,260
636,267,264,261
640,267,264,260
644,267,263,259
648,267,263,259
652,267,264,261
656,267,264,261
660,267,263,259
664,267,263,259
668,266,264,261
672,267,264,261
676,267,263,260
680,267,263,259
684,267,264,260
688,266,264,261
692,266,263,260
696,266,262,259
700,266,264,260
704,266,264,261
708,267,264,260
712,267,263,259
716,267,264,260
720,267,264,261
724,267,264,260
728,267,263,259
732,267,263,260
736,266,264,261
740,266,264,260
744,266,262,259
748,266,262,259
752,266,264,260
756,267,264,260
760,267,263,259
764,267,264,260
768,267,264,261
772,267,265,261
776,267,263,260
780,267,263,259
784,266,264,260
788,267,264,261
792,266,263,259
796,266,262,258
800,266,263,260
804,266,264,261
808,267,263,260
812,267,263,259
816,267,263,260
820,267,265,261
824,267,264,260
828,267,263,259
832,267,264,260
836,267,265,261
840,267,264,261
844,267,263,260
848,267,264,260
852,266,264,261
856,266,264,260
860,267,263,259
864,267,263,259
868,267,264,260
872,267,264,261
876,267,263,260
880,267,263,259
884,267,264,261
888,266,264,261
892,266,263,259
896,266,262,259
900,266,263,260
904,266,264,261
908,267,263,260
912,267,263,259
916,267,264,260
920,267,265,262
924,267,264,261
928,267,263,259
932,267,264,260
936,266,264,261
940,266,263,260
944,266,262,259
948,266,263,259
952,267,264,260
956,267,264,261
960,267,263,260
964,267,263,260
968,267,264,261
972,267,264,261
976,267,263,259
980,266,262,259
984,266,264,260
988,266,264,261
992,266,263,260
996,266,262,259
1000,266,264,260
1004,267,264,261
1008,266,263,260
1012,267,263,259
1016,267,264,261
1020,267,265,261
1024,267,264,260
1028,267,263,259
1032,266,263,260
1036,266,264,261
1040,266,264,260
1044,266,262,259
1048,266,263,259
1052,267,264,261
1056,267,264,260
1060,267,263,259
1064,267,264,260
1068,267,265,261
1072,267,265,261
1076,267,264,260
1080,266,263,260
1084,266,264,260
1088,266,264,261
1092,266,263,259
1096,266,262,258
1100,266,264,260
1104,267,264,261
1108,267,263,260
1112,267,263,259
1116,267,264,260
1120,267,265,261
1124,267,264,261
1128,267,263,260
1132,267,264,260
1136,266,264,261
1140,266,263,260
1144,266,262,259
1148,266,263,259
1152,266,264,260
1156,267,264,260
1160,267,263,259
1164,267,263,259
1168,267,265,261
1172,268,265,261
1176,267,263,260
1180,267,263,260
1184,267,264,261
1188,266,264,261
1192,266,262,259
1196,266,262,258
1200,265,262,259
1204,266,264,260
1208,267,264,260
1212,268,264,260
1216,268,265,261
1220,268,266,262
1224,268,265,261
1228,267,263,260
1232,266,263,260
1236,265,263,260
1240,264,261,258
1244,264,260,257
1248,265,261,257
1252,266,263,259
1256,267,264,260
1260,268,264,260
1264,269,265,261
1268,269,266,263
1272,269,266,263
1276,268,264,261
1280,267,263,260
1284,266,263,260
1288,265,263,260
1292,265,262,259
1296,265,262,258
1300,266,263,259
1304,267,264,261
1308,267,264,260
1312,268,264,260
1316,268,266,262
1320,269,266,263
1324,268,264,261
1328,268,264,260
1332,266,264,260
1336,266,264,261
1340,265,263,260
1344,265,261,258
1348,265,261,258
1352,265,262,259
1356,266,263,259
1360,267,262,258
1364,268,264,260
1368,268,265,261
1372,269,266,262
1376,268,265,261
1380,268,264,261
1384,267,264,261
1388,266,264,261
1392,265,262,259
1396,265,261,258
1400,265,262,259
1404,265,263,260
1408,266,263,259
1412,267,263,259
1416,267,264,260
1420,268,266,262
1424,268,265,261
1428,268,264,260
1432,268,265,261
1436,267,265,262
1440,267,264,261
1444,267,263,259
1448,266,263,260
1452,266,264,260
1456,266,263,260
1460,266,262,259
1464,266,262,259
1468,267,264,260
1472,267,264,260
1476,267,263,260
1480,267,264,260
1484,268,265,262
1488,267,265,262
1492,267,263,260
1496,266,262,259
1500,265,263,260
1504,265,263,260
1508,266,262,259
1512,266,262,258
1516,267,263,260
1520,268,265,261
1524,268,264,260
1528,268,264,260
1532,268,264,261
1536,267,265,262
1540,266,264,261
1544,266,262,259
1548,265,262,259
1552,266,263,260
1556,266,263,260
1560,266,262,258
1564,267,263,259
1568,267,264,261
1572,268,265,261
1576,267,264,260
1580,267,264,260
1584,267,265,261
1588,267,265,261
1592,266,263,260
1596,267,263,259
1600,266,264,260
