Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,270,285,295
8,270,273,279
12,270,268,269
16,270,266,265
20,270,268,265
24,270,268,265
28,270,266,263
32,270,266,262
36,270,267,264
40,270,268,264
44,270,267,263
48,270,266,262
52,270,267,263
56,270,268,265
60,270,267,264
64,270,266,262
68,270,266,263
72,270,268,264
76,270,267,264
80,270,266,262
84,270,265,262
88,270,267,263
92,270,268,264
96,270,266,263
100,270,266,262
104,270,268,264
108,270,268,265
112,270,266,263
116,270,266,262
120,270,267,264
124,270,268,264
128,269,266,263
132,270,265,262
136,270,267,263
140,270,268,264
144,270,267,263
148,270,266,262
152,270,267,263
156,270,268,265
160,270,267,264
164,270,266,262
168,270,267,264
172,270,268,265
176,270,267,264
180,264,262,260
184,264,260,258
188,264,262,259
192,264,262,258
196,264,260,257
200,264,260,257
204,264,262,258
208,264,262,258
212,264,260,257
216,264,260,256
220,264,261,258
224,264,262,258
228,264,260,257
232,264,260,256
236,264,261,258
240,264,262,259
244,264,261,257
248,264,260,256
252,264,261,257
256,264,262,258
260,264,261,258
264,264,260,256
268,264,260,257
272,264,262,258
276,264,261,258
280,264,260,256
284,264,260,257
288,264,262,259
292,264,261,258
296,264,260,256
300,264,260,256
304,264,261,258
308,264,262,258
312,264,260,257
316,264,260,256
320,264,261,258
324,264,262,258
328,264,261,257
332,264,260,256
336,264,261,258
340,264,262,259
344,264,261,257
348,264,260,256
352,264,261,257
356,264,262,258
360,264,261,257
364,263,259,256
368,264,260,257
372,264,262,258
376,264,261,258
380,264,260,256
384,264,260,256
388,264,261,258
392,264,262,258
396,264,260,257
400,264,260,256
404,264,262,258
408,264,262,258
412,264,260,257
416,264,259,256
420,264,261,258
424,264,262,258
428,264,260,257
432,264,260,256
436,264,261,257
440,264,262,259
444,264,261,257
448,264,260,256
452,264,261,257
456,263,262,258
460,263,260,257
464,264,260,256
468,264,261,257
472,264,262,258
476,264,262,259
480,264,260,257
484,264,261,257
488,264,262,259
492,264,262,258
496,264,260,257
500,264,261,257
504,264,261,258
508,263,261,258
512,263,260,256
516,264,259,256
520,264,261,257
524,264,262,258
528,264,261,257
532,264,260,256
536,264,261,258
540,264,262,259
544,264,261,257
548,264,260,256
552,274,268,262
556,276,272,267
560,276,272,267
564,266,264,262
568,259,259,258
572,253,254,253
576,252,251,249
580,256,250,247
584,260,255,250
588,264,260,255
592,266,262,257
596,268,263,258
600,268,264,259
