Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,270,285,294
8,270,273,279
12,270,269,271
16,270,267,266
20,270,266,264
24,270,268,265
28,270,268,265
32,271,267,264
36,271,267,263
40,272,269,265
44,271,269,266
48,271,268,265
52,271,267,264
56,271,267,264
60,270,268,264
64,270,267,264
68,270,266,263
72,270,267,263
76,270,268,264
80,271,267,264
84,271,267,263
88,271,268,264
92,271,269,265
96,271,268,265
100,271,267,264
104,271,267,263
108,270,268,264
112,270,268,264
116,270,266,263
120,270,266,262
124,270,267,264
128,270,267,264
132,270,267,263
136,271,267,263
140,272,269,265
144,272,269,266
148,272,269,265
152,272,268,264
156,271,268,265
160,270,268,265
164,269,266,263
168,263,261,260
172,263,260,258
176,263,260,258
180,264,261,258
184,265,261,257
188,267,262,258
192,267,264,260
196,267,265,261
200,266,263,260
204,265,262,259
208,264,262,259
212,263,261,258
216,263,259,256
220,263,259,256
224,263,260,257
228,265,262,258
232,266,262,258
236,266,262,258
240,267,263,260
244,266,264,260
248,266,262,259
252,265,261,258
256,264,261,258
260,263,261,258
264,263,260,257
268,263,259,256
272,263,260,256
276,264,262,258
280,266,262,258
284,267,262,258
288,267,263,259
292,267,264,261
296,266,263,260
300,265,262,258
304,264,261,258
308,263,261,258
312,263,260,257
316,262,259,256
320,263,259,256
324,264,261,257
328,266,263,259
332,267,263,259
336,267,263,259
340,267,264,260
344,266,264,261
348,265,262,259
352,264,260,257
356,263,260,257
360,263,261,258
364,263,260,257
368,264,259,256
372,264,260,257
376,265,263,259
380,266,263,259
384,266,262,258
388,266,262,259
392,266,263,260
396,265,262,259
400,264,261,258
404,263,260,257
408,264,261,258
412,263,261,258
416,264,260,257
420,265,261,257
424,265,263,259
428,266,264,260
432,266,263,259
436,266,262,259
440,266,263,260
444,264,263,260
448,264,261,258
452,264,260,257
456,263,260,257
460,263,261,258
464,264,261,257
468,265,260,257
472,265,262,258
476,266,263,259
480,266,263,259
484,266,262,258
488,265,262,259
492,265,263,260
496,264,262,259
500,264,260,257
504,263,260,257
508,263,261,258
512,263,261,257
516,264,260,257
520,265,261,257
524,266,264,260
528,266,264,260
532,266,262,259
536,265,262,258
540,264,262,259
544,264,262,259
548,264,261,257
552,263,259,256
556,264,260,257
560,264,262,258
564,264,261,257
568,265,261,257
572,266,262,258
576,266,264,260
580,266,263,259
584,265,261,258
588,265,262,258
592,264,262,259
596,264,261,258
600,263,259,256
604,264,260,256
608,264,261,258
612,265,262,258
616,266,261,257
620,265,261,258
624,266,263,260
628,266,264,261
632,265,262,259
636,265,261,258
640,264,261,258
644,264,262,258
648,264,260,257
652,264,260,256
656,264,261,257
660,264,262,259
664,265,261,258
668,265,261,257
672,266,262,259
676,266,264,260
680,266,262,259
684,266,261,258
688,265,261,258
692,265,263,259
696,264,262,259
700,264,260,257
704,264,260,257
708,265,262,258
712,265,262,258
716,264,260,257
720,264,260,257
724,264,262,258
728,264,262,258
732,264,261,257
736,265,261,257
740,265,262,258
744,265,263,259
748,265,262,258
752,265,261,257
756,265,262,259
760,265,263,259
764,265,261,258
768,264,261,257
772,265,261,258
776,264,262,259
780,264,261,258
784,265,260,257
788,264,262,258
792,265,263,259
796,265,262,258
800,265,260,256
804,265,261,257
808,265,263,259
812,265,262,259
816,265,261,258
820,265,261,257
824,265,262,259
828,265,262,259
832,265,261,257
836,264,261,257
840,264,262,258
844,264,262,258
848,264,260,257
852,265,260,257
856,264,262,258
860,265,263,260
864,265,262,259
868,266,261,258
872,265,262,259
876,265,263,260
880,265,262,259
884,264,260,257
888,264,261,257
892,264,262,259
896,264,261,258
900,264,260,257
904,265,261,257
908,265,263,259
912,265,263,259
916,265,261,258
920,265,261,258
924,265,262,259
928,265,262,259
932,264,260,257
936,264,260,257
940,264,261,258
944,265,262,259
948,265,261,257
952,265,261,257
956,265,262,258
960,265,263,259
964,265,262,258
968,265,261,257
972,265,262,258
976,265,262,259
980,265,261,258
984,264,260,257
988,264,261,257
992,264,262,258
996,264,261,258
1000,265,260,257
1004,265,261,257
