Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,507,554,170
8,178,299,75
12,46,139,21
16,1,56,0
20,0,17,0
24,0,0,0
28,0,0,0
32,0,0,0
36,0,0,0
40,0,0,0
44,0,0,0
48,2,3,3
52,10,11,11
56,14,15,12
60,15,17,15
64,21,21,22
68,27,27,26
72,26,28,23
76,23,26,20
80,22,25,21
84,22,25,20
88,17,21,14
92,10,15,5
96,4,10,1
100,2,7,0
104,0,3,0
108,0,0,0
112,0,0,0
116,0,0,0
120,0,0,0
124,0,0,0
128,0,0,0
132,0,0,0
136,0,0,0
140,0,0,0
144,0,0,0
148,3,4,4
152,11,11,11
156,13,15,12
160,16,17,15
164,22,22,23
168,27,27,26
172,26,27,24
176,23,26,20
180,22,24,21
184,22,25,20
188,18,22,13
192,9,15,4
196,4,10,1
200,1,7,0
204,0,2,0
208,0,0,0
212,0,0,0
216,0,0,0
220,0,0,0
224,0,0,0
228,0,0,0
232,0,0,0
236,0,0,0
240,0,0,0
244,0,0,0
248,4,5,5
252,11,12,12
256,13,14,12
260,15,16,15
264,21,21,22
268,26,26,26
272,26,28,23
276,23,25,20
280,22,24,21
284,22,25,20
288,17,21,12
292,8,14,4
296,4,9,1
300,1,6,0
304,0,3,0
308,0,0,0
312,0,0,0
316,0,0,0
320,0,0,0
324,0,0,0
328,0,0,0
332,0,0,0
336,0,0,0
340,0,0,0
344,0,0,0
348,2,3,4
352,11,11,11
356,13,15,12
360,16,17,15
364,22,22,23
368,27,27,26
372,26,28,23
376,22,25,20
380,22,25,21
384,22,24,21
388,18,21,13
392,10,15,5
396,4,10,1
400,2,7,0
404,0,2,0
408,0,0,0
412,0,0,0
416,0,0,0
420,0,0,0
424,0,0,0
428,0,0,0
432,0,0,0
436,0,0,0
440,0,0,0
444,0,0,0
448,4,5,5
452,11,12,12
456,14,15,12
460,16,17,16
464,22,22,23
468,27,27,27
472,26,27,24
476,23,25,20
480,22,25,21
484,22,25,20
488,17,21,13
492,9,15,4
496,4,9,0
500,1,6,0
504,0,2,0
508,0,0,0
512,0,0,0
516,0,0,0
520,0,0,0
524,0,0,0
528,0,0,0
532,0,0,0
536,0,0,0
540,0,0,0
544,0,0,0
548,4,6,6
552,12,12,11
556,13,14,12
560,16,17,15
564,21,21,22
568,26,27,26
572,26,27,23
576,23,25,20
